indicator,method,mean,sd,skew,kurt,p01,p50,p99,n_detected
rps_lines_ending_with_terminal_punctution_mark,before,30.89317635206374,21.821843233632613,1.5553976528287838,2.3881323409081663,0.0,25.0,100.0,
rps_lines_numerical_chars_fraction,before,1.8580277778796397,3.1007666797023488,5.206783809043808,52.618990854918444,0.0,0.8166723873207329,13.765823037782363,
rps_doc_mean_word_length,before,8.824037356686924,3.812932747188561,2.340537997977511,15.043738891869243,4.232760445174238,8.056603773584905,22.283682432432485,
fineweb_edu,none,1.2378044165257065,0.5680122510777638,0.8148232640140228,1.86647529145801,0.029795087873935644,1.1810027360916138,3.0383455753326416,0.0
fluency_en,none,0.16074972918424205,0.15533126417407814,-0.6783846636276121,-0.42871893149536744,-0.205078125,0.203857421875,0.40106079101562564,0.0
modernbert_cleanliness,none,-0.40588381016642233,0.5404918229799017,-0.040929029260099385,0.38051428257189146,-1.757158203125,-0.4159342447916667,0.852454427083335,0.0
modernbert_readability,none,-0.13287552066369387,0.3237068606956614,0.07291557776538735,-0.3351671800651168,-0.8279622395833334,-0.1258951822916666,0.6057932535807298,0.0
modernbert_reasoning,none,0.07219279753795753,0.24414049888722544,-0.04357133599198066,0.009052454423913225,-0.49267578125,0.076171875,0.6446940104166666,0.0
modernbert_professionalism,none,-0.14610120297082121,0.14096494235800489,0.2705318494284833,0.3873186125478325,-0.4563802083333333,-0.15216064453125,0.2230647786458348,0.0
qurater,none,-0.17491362841487448,1.9248177639274462,1.0152024251119556,1.5274698081798839,-3.783203125,-0.40234375,5.67380859375001,0.0
ad_en,none,0.20871701927052158,0.1554435451896818,-0.4955409944440673,-0.2878945327585569,-0.1822509765625,0.23046875,0.48046875,0.0
dsir_books,none,-8248.15857371337,25753.948017738792,-18.513635091357756,770.2315391793946,-102662.5621567992,-2395.40011578,-121.000577282,0.0
dsir_wiki,none,-8252.028346871046,25813.475070151806,-18.76687608395971,784.261934092656,-102684.4752707408,-2410.21323306,-120.79513305399958,0.0
dsir_math,none,-6737.71662763942,20205.09595985423,-23.60966821106612,1158.3081266914617,-71777.1310547464,-2302.11769678,-116.46098352639987,0.0
rps_doc_word_count,none,891.7652703620117,3733.4651090230172,35.45608029252049,3047.6954892540566,4.0,152.0,12000.920000000042,0.0
rps_doc_num_sentences,none,96.59773215170364,346.1629896113237,26.416807847900245,1274.3994957596767,1.0,24.0,1012.0,0.0
rps_doc_unigram_entropy,none,4.108856808127411,1.078439649600052,-0.2037467252735243,-0.05371127708367984,1.38629436,4.13445314,6.295716368000001,0.0
rps_doc_frac_unique_words,none,57.2003861283964,20.75385948949934,0.0671046488881996,-0.5546752670966653,14.975891081701343,56.896551724137936,100.0,0.0
rps_doc_frac_no_alph_words,none,33.71619799966738,10.122150614177997,1.398841120333259,6.4574546706456974,17.047325872625287,33.16261203585147,59.63724968146392,0.0
rps_doc_frac_chars_top_2gram,none,3.6054431056217746,5.045856693904396,4.260907920685415,45.360035680150794,0.0,2.0,24.0,0.0
rps_doc_frac_chars_top_3gram,none,2.979328641013869,5.056313388061545,5.971501512928552,129.02202125400981,0.0,1.0,24.0,0.0
rps_lines_uppercase_letter_fraction,none,22.134100271868586,12.318316298679715,0.67736483980899,0.5373501506503384,1.3627941416169524,20.76840610846001,55.33977608691523,0.0
rps_lines_ending_with_terminal_punctution_mark,none,30.89317635206374,21.821843233632613,1.5553976528287838,2.3881323409081663,0.0,25.0,100.0,0.0
rps_lines_numerical_chars_fraction,none,1.8580277778796397,3.1007666797023488,5.206783809043808,52.618990854918444,0.0,0.8166723873207329,13.765823037782363,0.0
rps_doc_mean_word_length,none,8.824037356686924,3.812932747188561,2.340537997977511,15.043738891869243,4.232760445174238,8.056603773584905,22.283682432432485,0.0
fineweb_edu,iqr,1.2207600210104987,0.5143888457793141,0.29548218308467983,0.09811762188348494,0.029795087873935644,1.1810027360916138,2.3890697658061977,14176.0
fluency_en,iqr,0.16077617954377532,0.15524316967106752,-0.6752220149733237,-0.44404581909337404,-0.205078125,0.203857421875,0.40106079101562564,226.0
modernbert_cleanliness,iqr,-0.4037600925514987,0.527689313915824,0.038800286242963326,0.002722952848194904,-1.635472615559896,-0.4159342447916667,0.828679402669271,7711.0
modernbert_readability,iqr,-0.13284245607395836,0.3232896156450492,0.0765180185669185,-0.3733149735424828,-0.8279622395833334,-0.1258951822916666,0.6057932535807298,471.0
